query_id,query,top_product_ids_nn,relevant_ids,map@10_nn,top_product_names_nn
0,salon chair massage chairs,"[42330, 975, 42077, 36797, 20070, 20069, 31390, 31556, 31555, 19794]","[25434, 42931, 2636, 42923, 41156, 5936, 22390, 42929, 42928, 25428, 39428, 39429, 25433, 25432, 25431, 27534, 36910, 25429, 2638, 27541, 29746, 29744, 20026, 22391, 7465, 25427, 25426, 1197, 15612, 7468, 25424, 25423, 39461, 1198, 7467, 42927, 7466, 25425, 22389]",0.0,"['gelt fashion casual beauty salon task chair', 'leather executive chair', 'parsons chair in gray', 'rainbow floating bar beverage tub', 'icer - black', 'maximizer - black', 'millwright upholstered side chair', 'simple fashion casual beauty salon conference chair', 'arianny simple fashion casual beauty salon conference chair', 'breathable ergonomic task chair']"
1,smart coffee table coffee cocktail tables,"[35405, 18473, 5161, 36488, 9894, 5071, 5962, 2771, 35355, 40552]","[9929, 5235, 37304, 25973, 16679, 29449, 33698, 20054]",0.0,"['bronson coffee table', 'akadia block coffee table', 'duchesne solid wood trestle coffee table', 'amarillo coffee table with storage', 'daevyn coffee table', 'alastair block coffee table', 'delois bunching coffee table', 'pegues solid wood block coffee table', 'lamantia lift top coffee table with storage', 'hamil drum coffee table']"
2,dinosaur kids wall door,"[9570, 7499, 34737, 39493, 786, 9552, 9555, 9553, 9554, 9558]","[4205, 4202, 4204, 36622, 29777, 40289, 10539, 34445, 34736, 10561, 29152, 37068, 12969, 27516, 32603, 14034, 36630, 36533, 36534, 36631, 36633, 38581, 38582, 24095, 21072, 20976, 27508, 27509, 27510, 27511, 9569, 34948, 20665, 10552, 3276, 11871, 27812, 11874, 11878, 13500, 20957, 11840, 11877, 39880, 12165, 10550, 10553, 14418, 10306, 25320, 12130, 35710, 35712, 35711, 29776, 39498, 39496, 195, 38628, 34735, 29736, 8093, 24094, 8142, 30926, 34737, 34739, 12179, 16227, 32604, 10547, 16226, 30321, 17275, 27728, 42530, 3754, 3756, 19651, 38580, 12075, 29151, 14678, 42557, 9571, 20971, 38578, 39310, 29146, 21094, 9547, 28482, 11033, 11074, 11075, 29886, 29144, 29143, 29150, 38517, 13636, 21073, 21047, 21064, 21048, 21083, 21062, 21045, 21046, 21043, 621, 28472, 12020, 32893, 39495, 39494, 39497, 15618, 4201, 4203, 15617, 27513, 27512, 620, 10437, 24196, 26729, 36620, 36621, 36619, 36632, 36628, 27515, 32873, 36672, 10505, 38593, 32781, 34734, 36645, 16256, 20664, 8589, 42528, 39493, 9570, 42516, 18868, 24099, 21055, 23033]",0.24166666666666664,"['witzel dinosaur expert throw pillow', 'ambrose cute owl decorative cotton throw pillow', 'dinosaur wall decor', 'wildkin dinosaur land comforter set', 'ferguson bee happy throw pillow', 'dulin cancer zodiac sign throw pillow', 'dulin leo zodiac sign throw pillow', 'dulin capricorn zodiac sign throw pillow', 'dulin gemini zodiac sign throw pillow', 'dulin sagittarius zodiac sign throw pillow']"
3,turquoise pillows accent pillows,"[23664, 21649, 5972, 6998, 32762, 9050, 9049, 9053, 9048, 9047]","[18909, 12386, 12436, 32704, 12201, 18293, 40484, 18289, 18290, 18294, 18292, 16527, 21804, 42736, 21233, 11690, 36265, 36497, 28463, 32701, 37422, 1923, 36158, 40111, 23741, 28726, 25746, 21412, 9511, 1854, 20007, 20118, 26623, 4852, 1851, 5998, 30219, 7423, 3237, 23599, 32352, 7149, 21234, 3596, 881, 15636, 31401, 5983, 39589, 27814, 19100, 13577, 21244, 13405, 7965]",0.0,"['atley faux throw pillow', 'erion outdoor square pillow insert', 'style cusp home throw pillow', 'donalsonville indoor faux throw pillow', 'elliott indoor/outdoor throw pillow', 'home throw pillow', 'aged throw pillow', 'blue throw pillow', 'orange throw pillow', 'nice throw pillow']"
4,chair half recliner recliners,"[27897, 12107, 12242, 25614, 23003, 40046, 40059, 8759, 29994, 391]","[5488, 6098, 42393, 16598, 41662, 40331, 24881, 6099, 34390, 24890, 13783, 20792, 17679, 14652, 30298, 21448, 20495, 27896, 40061, 31476, 3396, 26363, 31629]",0.0,"[""hebron 29 '' wide vegan leathe manual club recliner"", 'dracut faux leather manual club recliner', ""harrel 25 '' wide manual rocker standard recliner"", ""sandra 26.75 '' wide manual club recliner"", ""33 '' wide manual swivel standard recliner with ottoman"", ""cappadona 27 '' wide manual standard recliner"", ""dracoulis 35 '' wide manual standard recliner"", ""daniel-john 28 '' wide manual swivel standard recliner"", ""aiken 34 '' wide faux leather power wall hugger standard recliner"", ""buryn 35 '' wide manual standard recliner""]"
5,sofa ottoman sectionals,"[40072, 40139, 30573, 17690, 28660, 9687, 42419, 24954, 42060, 28657]","[33253, 19757, 26053, 6986, 25713, 14091, 41397, 15772, 7103, 28673, 25216, 33260, 33261, 33262, 33263, 28682, 40987, 27768, 18262, 8409, 23985, 1265, 42437, 15873, 18305, 6105, 40988, 18310, 6155, 19180, 23610, 7102, 3060, 3061, 42686, 20646, 41112, 40989, 40990, 26976, 18311, 21138, 6340, 31025, 28643, 8882, 8876, 33258, 19496, 2324, 32260, 2800, 12986, 33534, 28683, 41463, 22956, 1086, 14090, 1127, 30412, 14879, 17690, 41964, 8497, 24954, 42722, 6339, 21928, 9522, 23677, 40072, 33251, 11683, 33264, 1734, 42664, 11685, 21134, 42419, 22745, 1736, 30573, 26966, 3014, 1286, 1128, 38543, 22116, 4721, 28657, 32499, 32500, 33259, 36075, 28639, 25059, 31026, 26219, 27756, 19037, 17670, 28660, 11256, 1697, 42519, 1743, 39969, 4722, 21140, 2807, 35583, 28679, 9677, 24081, 28645, 28674, 1701, 30411, 26823, 21171, 27763, 9682, 21139, 21172, 28655, 9680, 14800, 5265, 5379, 6529, 6530, 23983, 33521, 27764, 1695, 25217, 6407, 18539, 14801, 27765, 28666, 1703, 8496, 24082, 28658, 6393, 5879, 28665, 38891, 25086, 24084, 28659, 12992, 6377, 5283, 33252, 31024, 40139, 31517, 40186, 25080, 9685, 18701, 26058, 9909, 1698, 1706, 14543, 1700, 21136, 1705, 1865, 9687, 9686, 39967, 27761, 25355, 39084]",0.89,"[""massillon 103.5 '' wide linen sofa & chaise with ottoman"", ""roughton 103 '' wide sofa & chaise with ottoman"", ""serra 157 '' wide microfiber/microsuede right hand facing corner sectional with ottoman"", ""jasmina 75 '' wide reversible sofa & chaise with ottoman"", ""68 '' wide reversible modular sofa & chaise with ottoman"", 'kendall sectional sofa with ottoman', ""montz 81 '' wide linen reversible modular sofa & chaise with ottoman"", ""krisdapor 98 '' wide microfiber/microsuede sofa & chaise with ottoman"", ""stines 131 '' wide reversible modular sofa & chaise"", ""sunnydale 105 '' wide reversible sofa & chaise with ottoman""]"
6,acrylic clear chair dining chairs,"[30129, 25711, 32575, 27058, 29533, 25147, 35331, 752, 27747, 25695]","[41828, 32573, 25711, 1454, 28922, 25147, 19812, 34105, 30107, 42350, 42527, 32575, 26804, 18655, 752, 39367, 39368, 18662, 40460, 29496, 29497, 27039, 21912, 21914, 25875, 25571, 14788, 14787, 30514, 29503, 29502, 10287, 19248, 18387, 14488, 1452, 28921, 25143, 41827, 39369, 30129, 33512, 29488]",0.4291666666666666,"['wiston king louis back side chair in clear', 'caverly stacking side chair', 'esman arm chair in clear', 'solid wood stacking side chair', 'weldon upholstered side chair', 'coverly king louis back stacking side chair', 'waverly linen dining chair', 'holleman stacking side chair in clear', 'amrane upholstered dining chair', 'blaisdell linen side chair']"
7,driftwood mirror wall accent mirrors,"[33158, 37655, 37649, 14890, 20627, 40949, 11307, 771, 22515, 11297]","[37651, 19768, 27648, 37652, 37645, 34787, 14226, 14227, 29096, 34083, 34926, 17379, 19580, 41904, 4310, 3647, 24449, 37655, 40795, 11297, 24319, 33158, 11316]",0.22999999999999998,"['reddy rustic beveled accent mirror', 'laplante beveled accent mirror', 'krohn square beveled/distressed accent mirror', 'eglomisé traditional beveled distressed accent mirror', 'vannesa bathroom/vanity mirror', 'kittery beveled distressed accent mirror', 'musso wall mirror', 'frye handcrafted traditional full length mirror', 'beveled distressed accent mirror', 'mcmillen driftwood circular sunburst rustic accent mirror']"
8,home sweet home sign wall door,"[28089, 11511, 21994, 5196, 8778, 21275, 30559, 27496, 2760, 28088]","[30082, 21994, 19132, 23011, 22077, 889, 8301, 30936, 5196, 28089, 37519, 34471, 27496, 8778, 9657, 7820, 11511, 21275, 30557, 8990, 30083, 30358, 30045, 15707, 30355]",0.6875,"['home sweet home door sign wall décor', 'home sweet home sign', ""home decorative heart shaped metal wall sign inscribed `` home sweet home ''"", 'home sweet home dog wall décor', 'home sweet home galvanized metal hanging sign wall décor', 'home sweet home sign door wall decor', 'home sign wall décor', 'home sweet home galv wall décor', 'bless this home wisdom sign wall décor', 'bless our home wooden sign wall décor']"
9,coffee table fire pit outdoor fireplaces,"[5873, 7509, 23921, 38099, 16483, 1618, 1311, 26855, 1312, 21800]","[20907, 30092, 3288, 29691, 30826, 13615, 29361, 16859, 21801, 21802, 38098, 742, 1312, 29859, 20910, 14429, 22863, 17993, 7997, 23622, 33736, 34405, 33629, 1311, 21800, 30094, 30093, 8715, 40928, 24844, 23920, 14744, 22466, 20909, 17607, 22769, 38099, 27916, 20647, 24415, 24416, 24418, 20281, 24419, 24420, 24421, 24422, 15058, 17613, 39719, 7509, 1618, 12301, 28838, 23921, 39718, 28576, 7996, 21308, 5873, 8714, 14610, 7974, 7969, 7970, 7971, 7507, 24272, 7972, 30832, 30833, 30834, 30835, 30837]",0.7268253968253967,"['rickards aluminum propane fire pit table', 'ouellette steel propane fire pit table', 'prine steel propane fire pit', 'holiman concrete propane fire pit', 'polyresin propane gas', 'outdoor polyresin propane fire pit table', 'crystiana patio concrete propane fire pit table', 'skylands stone propane fire pit', 'bragg concrete propane fire pit table', 'curtisville aluminum propane fire pit table']"
